1,Bulbasaur,grass,poison,45,49,49,65,65,45
65,Alakazam,psychic,nan,55,50,65,175,105,150
129,Magikarp,water,nan,20,10,55,15,20,80
193,Yanma,bug,flying,65,65,45,75,45,95
257,Blaziken,fire,fighting,80,160,80,130,80,100
321,Wailord,water,nan,170,90,45,90,45,60
385,Jirachi,steel,psychic,100,100,100,100,100,100
449,Hippopotas,ground,nan,68,72,78,38,42,32
513,Pansear,fire,nan,50,53,48,53,48,64
577,Solosis,psychic,nan,45,30,40,105,50,20
641,Tornadus,flying,nan,79,100,80,110,90,121
705,Sliggoo,dragon,nan,68,75,53,83,113,60
769,Sandygast,ghost,ground,55,55,80,70,45,15
