1,Bulbasaur,grass,poison,45,49,49,65,65,45
4,Charmander,fire,nan,39,52,43,60,50,65
7,Squirtle,water,nan,44,48,65,50,64,43
10,Caterpie,bug,nan,45,30,35,20,20,45
16,Pidgey,normal,flying,40,45,40,35,35,56
23,Ekans,poison,nan,35,60,44,40,54,55
25,Pikachu,electric,nan,35,55,40,50,50,90
27,Sandshrew,ground,ice,50,75,90,10,35,40
35,Clefairy,fairy,nan,70,45,48,60,65,35
56,Mankey,fighting,nan,40,80,35,35,45,70
63,Abra,psychic,nan,25,20,15,105,55,90
74,Geodude,rock,ground,40,80,100,30,30,20
92,Gastly,ghost,poison,30,35,30,100,35,80
124,Jynx,ice,psychic,65,50,35,115,95,95
147,Dratini,dragon,nan,41,64,45,50,50,50
197,Umbreon,dark,nan,95,65,110,60,130,65
208,Steelix,steel,ground,75,125,230,55,95,30
641,Tornadus,flying,nan,79,100,80,110,90,121
