track_name; track_id; album_name; album_id; artist_name; artist_id; release_date; length; popularity; acousticness; danceability; energy; instrumentalness; liveness; loudness; speechiness; tempo; time_signature; 
Sunrise; 7H4NC6MYkcO91vrXwRQ4N1; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 151093; 25; 0.939; 0.146; 0.216; 0.54; 0.0773; -12.302; 0.0399; 78.045; 4; 
Church; 4nb8OcZG8lpnHi5DmkEnY2; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 230013; 21; 0.00865; 0.449; 0.736; 0.145; 0.147; -6.98; 0.0368; 123.973; 4; 
Trouble In Town; 49YD8pGETf5HUKxouVdq3W; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 278906; 24; 0.427; 0.595; 0.315; 0.648; 0.111; -11.456; 0.0296; 96.018; 4; 
BrokEn; 0puPjLkM0yGkHcgJ5Cx0Tu; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 150200; 17; 0.923; 0.55; 0.271; 0; 0.147; -11.836; 0.0495; 130.151; 4; 
Daddy; 6s2hGG9yeBypHY9Gf8poVv; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 298320; 26; 0.931; 0.633; 0.18; 0.801; 0.513; -19.54; 0.034; 116.981; 4; 
WOTW POTP; 4OcWgqzJPCxfxhUveVHHFj; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 76933; 15; 0.935; 0.692; 0.294; 0.929; 0.116; -15.483; 0.248; 133.686; 4; 
Arabesque; 3O9LthKRLBGvldECecoHYz; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 340280; 26; 0.000114; 0.401; 0.834; 0.849; 0.373; -7.727; 0.055; 172.009; 4; 
When I Need A Friend; 1z5nCEeGw23FVORtbNYCHG; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 155000; 24; 0.921; 0.141; 0.28; 0.368; 0.135; -18.225; 0.0618; 64.501; 4; 
Guns; 1N07LKSbSEsrECpw1SVkt8; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 115080; 15; 0.775; 0.475; 0.565; 0.188; 0.138; -8.336; 0.0326; 85.25; 3; 
Orphans; 4cUpJkAYVyJ6OR6f7dYTzb; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 197533; 31; 0.0258; 0.503; 0.808; 0.00149; 0.557; -5.051; 0.0451; 107.973; 4; 
Èkó; 2xH25Fv8hXL9coCyCJEVX3; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 157866; 15; 0.722; 0.341; 0.365; 0.00194; 0.184; -13.871; 0.0322; 182.995; 3; 
Cry Cry Cry; 60cpogZMcBJo6gryiyIzB1; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 167280; 20; 0.89; 0.491; 0.262; 0.288; 0.207; -10.458; 0.0572; 204.52; 3; 
Old Friends; 0yLy5ps68NaqSu2gjQgBzf; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 146946; 24; 0.943; 0.476; 0.18; 0.235; 0.138; -17.499; 0.0346; 134.025; 5; 
بنی آدم; 2mFIMXz2JCV1v7we5Qbve7; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 194666; 15; 0.758; 0.393; 0.301; 0.764; 0.161; -20.428; 0.0497; 140.438; 3; 
Champion Of The World; 2GXbkOYI1HuSqk95wIcnm8; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 257546; 16; 0.00276; 0.503; 0.594; 0.0102; 0.109; -7.095; 0.0263; 108.9; 4; 
Everyday Life; 3pSR6gudZ1UTltAeeZ7UDq; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 258533; 28; 0.775; 0.512; 0.452; 0.0818; 0.065; -8.991; 0.0292; 124.103; 4; 
Flags; 4S2lJPZBoyl28MilRBgxgb; Everyday Life; 7z0efuBXAnPfu60aOL3QFV; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 216493; 14; 0.00107; 0.55; 0.796; 1.18e-05; 0.123; -7.262; 0.0378; 89.876; 4; 
Sunrise; 6Tb7Zfo4PcSiS4TqQ4NnTh; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 151093; 61; 0.939; 0.146; 0.216; 0.54; 0.0773; -12.302; 0.0399; 78.045; 4; 
Church; 1e8D1BCD2afT56Km7UahpB; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 230013; 59; 0.00865; 0.449; 0.736; 0.145; 0.147; -6.98; 0.0368; 123.973; 4; 
Trouble In Town; 45PqOIkZ9PdCjsCJQYzx9G; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 278906; 61; 0.427; 0.595; 0.315; 0.648; 0.111; -11.456; 0.0296; 96.018; 4; 
BrokEn; 1cXXhzPnbrXjNQYbLdUJdy; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 150200; 54; 0.923; 0.55; 0.271; 0; 0.147; -11.836; 0.0495; 130.151; 4; 
Daddy; 3pcPPhPAiurm2Ior11SHrz; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 298320; 63; 0.931; 0.633; 0.18; 0.801; 0.513; -19.54; 0.034; 116.981; 4; 
WOTW POTP; 7jib2tJjQ82kTIZZATMvAK; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 76933; 52; 0.935; 0.692; 0.294; 0.929; 0.116; -15.483; 0.248; 133.686; 4; 
Arabesque; 0ZlVUhjO8c0bOx1D2Btznf; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 340280; 63; 0.000114; 0.401; 0.834; 0.849; 0.373; -7.727; 0.055; 172.009; 4; 
When I Need A Friend; 0UvUivL70eDwhTWBd8S38I; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 155000; 59; 0.921; 0.141; 0.28; 0.368; 0.135; -18.225; 0.0618; 64.501; 4; 
Guns; 6VzRvCbolqcUswaSPm48rI; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 115080; 51; 0.775; 0.475; 0.565; 0.188; 0.138; -8.336; 0.0326; 85.25; 3; 
Orphans; 03T4ttRCiLXST6MZjeMwmR; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 197533; 66; 0.0258; 0.503; 0.808; 0.00149; 0.557; -5.051; 0.0451; 107.973; 4; 
Èkó; 2HUtNS9qtfgWbnaagK6AAe; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 157866; 53; 0.722; 0.341; 0.365; 0.00194; 0.184; -13.871; 0.0322; 182.995; 3; 
Cry Cry Cry; 4Kwhm5VU4huxmQtBqd1AXo; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 167280; 60; 0.89; 0.491; 0.262; 0.288; 0.207; -10.458; 0.0572; 204.52; 3; 
Old Friends; 3E3zYgQul8EaJioNvD2tv9; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 146946; 59; 0.943; 0.476; 0.18; 0.235; 0.138; -17.499; 0.0346; 134.025; 5; 
بنی آدم; 6DGzLNiawTtntC9NHzeMeY; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 194666; 52; 0.758; 0.393; 0.301; 0.764; 0.161; -20.428; 0.0497; 140.438; 3; 
Champion Of The World; 6mf7BNgXs8JipPr2QILnyN; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 257546; 63; 0.00276; 0.503; 0.594; 0.0102; 0.109; -7.095; 0.0263; 108.9; 4; 
Everyday Life; 0h9fnCSnbUgOEgibnQByFv; Everyday Life; 2FeyIYDDAQqcOJKOKhvHdr; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 258533; 68; 0.775; 0.512; 0.452; 0.0818; 0.065; -8.991; 0.0292; 124.103; 4; 
Sunrise; 7IPLwgQEPGCv7fqrjQgPH0; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 151093; 2; 0.939; 0.146; 0.216; 0.54; 0.0773; -12.302; 0.0399; 78.045; 4; 
Church; 3PuUxuYfvHRlLFWgmkgpt2; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 230013; 2; 0.00865; 0.449; 0.736; 0.145; 0.147; -6.98; 0.0368; 123.973; 4; 
Trouble in Town; 5kqQ9HZ38KtKQcM73sWtCb; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 278906; 2; 0.432; 0.603; 0.308; 0.732; 0.111; -11.442; 0.0291; 96.032; 4; 
BrokEn; 4RxJd62u52ithoDKnHRTt7; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 150200; 1; 0.923; 0.55; 0.271; 0; 0.147; -11.836; 0.0495; 130.151; 4; 
Daddy; 2tAkHBYe5zKzROZQtXqTBk; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 298320; 2; 0.931; 0.633; 0.18; 0.801; 0.513; -19.54; 0.034; 116.981; 4; 
WOTW POTP; 6c1YV0MLqhEB4luL5hePjd; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 76933; 1; 0.935; 0.692; 0.294; 0.929; 0.116; -15.483; 0.248; 133.686; 4; 
Arabesque; 0kIB7BlbS5qhCxqGtSFzqL; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 340280; 2; 0.000114; 0.403; 0.836; 0.854; 0.373; -7.734; 0.0552; 172.024; 4; 
When I Need A Friend; 1Au0AfjHschxgbrrE7RiXp; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 155000; 1; 0.921; 0.141; 0.28; 0.368; 0.135; -18.225; 0.0618; 64.501; 4; 
Guns; 6M9qQHqsnVAEm2vmrG0yJE; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 115080; 1; 0.773; 0.458; 0.562; 0.243; 0.138; -8.446; 0.0327; 131.384; 4; 
Orphans; 7k4Kcq9xg95ycO1xBaDnG5; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 197533; 2; 0.0258; 0.503; 0.808; 0.00149; 0.557; -5.051; 0.0451; 107.973; 4; 
Èkó; 3arRw9BEDY6iPXMgDa5rJd; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 157866; 1; 0.722; 0.341; 0.365; 0.00194; 0.184; -13.871; 0.0322; 182.995; 3; 
Cry Cry Cry; 64SVLlAArJdyPs9HNnogBq; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 167280; 2; 0.89; 0.491; 0.262; 0.288; 0.207; -10.458; 0.0572; 204.52; 3; 
Old Friends; 3iYewuUoFdgvpybxGEttuO; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 146946; 1; 0.943; 0.476; 0.18; 0.235; 0.138; -17.499; 0.0346; 134.025; 5; 
بنی آدم; 6tAo3PZfnVYQXTHhi892oT; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 194666; 1; 0.758; 0.393; 0.301; 0.764; 0.161; -20.428; 0.0497; 140.438; 3; 
Champion Of The World; 1eaKTfqVPBhTdYYZQ248K1; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 257546; 24; 0.00276; 0.503; 0.594; 0.0102; 0.109; -7.095; 0.0263; 108.9; 4; 
Everyday Life; 3noPoL4ljzpWy0S0yTivTW; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 258533; 1; 0.775; 0.512; 0.452; 0.0818; 0.065; -8.991; 0.0292; 124.103; 4; 
Flags; 4cj1MthCURAIJjTiXWGhCD; Everyday Life; 38dLksLxrS6SBps345nbJI; Coldplay; 4gzpq5DPGxSnKTe4SA8HAU; 2019-11-22; 216493; 2; 0.00107; 0.55; 0.796; 1.18e-05; 0.123; -7.262; 0.0378; 89.876; 4; 
