track_name; track_id; album_name; album_id; artist_name; artist_id; release_date; length; popularity; acousticness; danceability; energy; instrumentalness; liveness; loudness; speechiness; tempo; time_signature; 
Walk The Earth; 4jjCfcfvhtz5doIUojTDBu; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 255960; 40; 0.237; 0.305; 0.847; 8.17e-05; 0.367; -4.258; 0.0511; 148.109; 4; 
The Siege; 0yIGSb0ef3HBVLUodHB4on; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 240813; 32; 0.0036; 0.375; 0.91; 8.68e-06; 0.538; -6.818; 0.0717; 94.068; 4; 
Kingdom United; 3nBDbWZoRLOKUGVmuxNawU; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 171960; 30; 0.000503; 0.385; 0.924; 0.00406; 0.298; -5.122; 0.0769; 134.133; 4; 
Pictures; 2lo0AiSKnv1oiaXgr4ZAIo; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 288840; 29; 0.378; 0.402; 0.589; 0.000214; 0.0912; -7.693; 0.0341; 127.053; 4; 
Election Day; 5x3OgqkmxzRmBhTQ6bWvkM; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 246160; 28; 0.0061; 0.396; 0.952; 1.46e-05; 0.0898; -4.424; 0.13; 129.945; 4; 
Wolves; 5hEyfHIOWBuAEAAHpCQuF2; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 235320; 22; 0.000403; 0.272; 0.823; 0.803; 0.327; -5.067; 0.0399; 147.549; 4; 
GTO; 4UO6QuNNJEM96MYqXlrJ9P; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 209346; 28; 0.00202; 0.215; 0.972; 0.000514; 0.314; -5.205; 0.148; 180.124; 4; 
Haze; 4VmUfaFrtU86Ig99UNBCRD; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 229160; 20; 0.000736; 0.264; 0.912; 0.0221; 0.349; -5.411; 0.0693; 166.175; 4; 
Whenever Youre Ready; 2ZLQfBxe6eprQMg9NGeIbW; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 171013; 20; 0.00543; 0.423; 0.944; 7.92e-06; 0.355; -5.28; 0.0835; 101.581; 4; 
Turn To Dust; 4EIsljRJiUE7BOwd4FOmYH; Walk The Earth; 0Vnpsf7jjEHHcvnZZyGRCf; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 410493; 21; 0.00189; 0.437; 0.811; 0.00204; 0.209; -6.615; 0.0385; 79.537; 4; 
Walk The Earth; 34wmVhtRqCjJ0ZKcw703Xi; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 255960; 9; 0.237; 0.305; 0.847; 8.17e-05; 0.367; -4.258; 0.0511; 148.109; 4; 
The Siege; 3LOTW06OzPmUTd6xG62Wde; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 240813; 6; 0.0036; 0.375; 0.91; 8.68e-06; 0.538; -6.818; 0.0717; 94.068; 4; 
Kingdom United; 4cJiZx8sp9YbI2sLQnc7dk; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 171960; 6; 0.000503; 0.385; 0.924; 0.00406; 0.298; -5.122; 0.0769; 134.133; 4; 
Pictures; 2QDx8pXa3PrR2UWWYa7tXr; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 288840; 5; 0.378; 0.402; 0.589; 0.000214; 0.0912; -7.693; 0.0341; 127.053; 4; 
Election Day; 5W362O9R1rlQY3DyCuqdDN; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 246160; 5; 0.0061; 0.396; 0.952; 1.46e-05; 0.0898; -4.424; 0.13; 129.945; 4; 
Wolves; 0GAznldtNvDIerUWsrKlcF; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 235320; 1; 0.000403; 0.272; 0.823; 0.803; 0.327; -5.067; 0.0399; 147.549; 4; 
Gto; 3wQXQyshfS5CIkZf1TNjyi; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 209346; 5; 0.00202; 0.215; 0.972; 0.000514; 0.314; -5.205; 0.148; 180.124; 4; 
Haze; 5evWTtmNTg0Rzhl7gvRv3P; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 229160; 0; 0.000736; 0.264; 0.912; 0.0221; 0.349; -5.411; 0.0693; 166.175; 4; 
Whenever Youre Ready; 7hxFCOAfpo40y9Yp73E7Q5; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 171013; 1; 0.00543; 0.423; 0.944; 7.92e-06; 0.355; -5.28; 0.0835; 101.581; 4; 
Turn To Dust; 25e0dpO462er3wwnBPyt86; Walk The Earth; 4LqfjwtiQ4GUNj7qTfBY0C; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-10-20; 410493; 1; 0.00189; 0.437; 0.811; 0.00204; 0.209; -6.615; 0.0385; 79.537; 4; 
Hole in My Pocket Live; 5GsODlwkOH50juo0yY8qfO; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 323266; 27; 0.0098; 0.247; 0.979; 0.0044; 0.901; -3.837; 0.157; 185.141; 4; 
The Second Day Live; 6Yqf2xAvwAlLN8wmDYkQOb; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 292493; 26; 0.00832; 0.454; 0.905; 0.000329; 0.758; -3.502; 0.0517; 94.941; 4; 
Praise You Live; 1K0PqCujdzwAEoFmdQv17g; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 295693; 15; 0.0935; 0.331; 0.833; 0.00281; 0.874; -4.119; 0.0476; 153.579; 4; 
Nothin to Ya Live; 3IyWpwyVJE3WuFbJh5bANN; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 243320; 15; 0.0151; 0.511; 0.931; 0.00719; 0.756; -3.584; 0.05; 90.989; 4; 
California 405 Live; 6AZxpTzFMpb0FClUrM23e4; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 296000; 14; 0.0127; 0.484; 0.911; 0.0557; 0.603; -3.903; 0.0516; 112.003; 4; 
Angels With Broken Hearts Live; 2RrqQcM8RtWccAUhQ9ArxI; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 324173; 14; 0.121; 0.405; 0.697; 0.0143; 0.937; -4.727; 0.038; 72.816; 4; 
Days of Rock N Roll Live; 1r7DMcOd19Dn3Yn1grTMfr; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 208453; 15; 0.00186; 0.425; 0.985; 0.0197; 0.987; -3.648; 0.0763; 131.006; 4; 
Children of the Mind Live; 5RRF8ACVaEw4PUtBGbIC8A; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 268893; 14; 0.0114; 0.495; 0.902; 0.111; 0.666; -3.847; 0.0348; 89.968; 4; 
Rainbow Bridge Live; 0Q8peLS3bt4V4Iy2GxEWvV; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 292160; 13; 0.012; 0.152; 0.865; 0.0751; 0.913; -4.346; 0.0771; 200.808; 4; 
Vasastan Live; 3JpNpyFX7jvQFv0VlXNPlD; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 241933; 14; 0.266; 0.191; 0.664; 0.891; 0.979; -5.425; 0.0359; 105.223; 4; 
Light it Up Live; 0jPAQNpFqxQfi1yhWVfpMD; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 337826; 25; 0.00624; 0.425; 0.953; 0.00818; 0.406; -3.407; 0.0679; 132.943; 4; 
War of Kings Live; 42qjk37JXmABvZhDSj7OaC; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 285120; 13; 0.0115; 0.453; 0.899; 0.0897; 0.951; -3.443; 0.0328; 91.018; 4; 
The Final Countdown Live; 2SZFsCMsGzr6Lb7IF2GR2M; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 375586; 30; 0.00371; 0.415; 0.963; 0.014; 0.96; -3.567; 0.0816; 117.996; 4; 
Rock the Night Live; 3aDSffaxieC3nbNXjfdl4i; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 313186; 21; 0.0184; 0.457; 0.956; 0.00041; 0.807; -3.653; 0.0955; 108.866; 4; 
Carrie Live; 5p0KeEsOVprxpdBNZOPMKW; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 306253; 28; 0.253; 0.307; 0.693; 1.35e-05; 0.858; -4.25; 0.0357; 137.179; 4; 
Danger on the Track Live; 7DLgAPR7m9hVrrqMwiDflP; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 222386; 16; 0.0197; 0.447; 0.946; 1.14e-06; 0.927; -3.061; 0.0439; 98.027; 4; 
Ninja Live; 1ViTPoh5OY4UJ2MdRtzwz2; The Final Countdown 30th Anniversary Show Live At The Roundhouse; 6rHy3jkHJyTqsU3dLQxyhi; Europe; 7Js6Lde8thlIHXggv2SCBz; 2017-07-21; 259120; 16; 0.00319; 0.378; 0.967; 0.000265; 0.843; -3.403; 0.0635; 151.522; 4; 
