track_name; track_id; album_name; album_id; artist_name; artist_id; release_date; length; popularity; acousticness; danceability; energy; instrumentalness; liveness; loudness; speechiness; tempo; time_signature; 
Desconstrução Ao Vivo; 6AKvhtkFKvi9ejtlKEGX89; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 284706; 45; 0.477; 0.674; 0.23; 2.18e-05; 0.908; -18.014; 0.0486; 122.018; 4; 
Fuzuê Ao Vivo; 0rOdLG3DGB6JLAZDG92dSa; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 260174; 44; 0.22; 0.545; 0.654; 3.3e-05; 0.693; -14.689; 0.0493; 96.094; 4; 
Mil Razões Ao Vivo; 0BwovJETQHWxuYvcITErRH; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 247940; 45; 0.0412; 0.543; 0.435; 0; 0.682; -13.398; 0.0297; 101.193; 4; 
Hoje Lembrei Do Teu Amor Ao Vivo; 3LROYRDOC7aXXVN4gydXXZ; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 270868; 46; 0.0244; 0.518; 0.554; 2.89e-06; 0.721; -14.61; 0.0367; 138.088; 4; 
Deitada Nessa Cama Ao Vivo; 5Lj9sZye5UD2ibZ8LEBwSi; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 242677; 46; 0.0575; 0.524; 0.359; 2.48e-05; 0.691; -15.021; 0.0357; 116.681; 4; 
Nessa Paz Eu Vou Ao Vivo; 0JM0A65UMay47ZVap0fCgE; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 225412; 44; 0.346; 0.41; 0.332; 0; 0.673; -15.382; 0.0486; 132.768; 4; 
Coisa Linda Ao Vivo; 28zoeQs3irocvhOBZAc81h; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 192933; 55; 0.26; 0.582; 0.443; 0.000112; 0.696; -15.906; 0.0405; 87.07; 4; 
Lôra Ao Vivo; 6hv1qtVzwDUkSY6WW3klcE; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 262232; 43; 0.302; 0.51; 0.181; 0; 0.715; -18.15; 0.0552; 108.986; 4; 
Tangerina Ao Vivo; 6TDPTk5c9r1aAaLEILqNmA; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 281034; 63; 0.0364; 0.664; 0.575; 0.00458; 0.687; -13.538; 0.0637; 109.009; 4; 
Tua Caramassa Ao Vivo; 333Ldsm2Y3bgURbOQ2kZ9i; Acústico MTV Tiago Iorc Ao Vivo; 3Tf4vmSc5PYcpmwZUSLEJV; Tiago Iorc; 4iWkwAVzssjb8XgxdoOL6M; 2019-09-20; 221462; 42; 0.124; 0.603; 0.514; 0; 0.677; -13.941; 0.0351; 96.042; 4; 
