track_name; track_id; album_name; album_id; artist_name; artist_id; release_date; length; popularity; acousticness; danceability; energy; instrumentalness; liveness; loudness; speechiness; tempo; time_signature; 
Atención; 1U62BQhqoJK5j9SI03aBys; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 160000; 50; 0.00158; 0.815; 0.784; 2.3e-05; 0.216; -5.502; 0.146; 156.042; 4; 
Banana; 2eSnW4d3A4SyEVhVPmBffa; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 195619; 59; 0.0195; 0.752; 0.681; 0; 0.0353; -6.684; 0.299; 73.233; 4; 
Onda diferente feat Papatinho; 2H8ETIUEoN9YMf56X66bxd; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 160900; 63; 0.333; 0.705; 0.721; 0; 0.101; -5.545; 0.514; 75.132; 4; 
Sin miedo; 6p6sG45DypURkhhXsVr6MN; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 191362; 52; 0.324; 0.82; 0.772; 0; 0.0878; -1.781; 0.0663; 99.961; 4; 
Poquito; 5qm2otRZaeZaqdLVVohUjq; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 175670; 54; 0.509; 0.701; 0.852; 0; 0.309; -4.03; 0.126; 144.837; 4; 
Tu y yo; 2YHR2QhK6nWta7rbY1on6i; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 206701; 50; 0.376; 0.427; 0.65; 0; 0.218; -6.007; 0.0514; 84.159; 4; 
Get To Know Me; 32lyOiqQrmCUICCcBfkBeG; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 162139; 49; 0.251; 0.634; 0.84; 0; 0.623; -3.554; 0.042; 170.007; 4; 
Rosa; 7KicgcwT4Pz6wENOTJCNTp; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 166156; 52; 0.449; 0.687; 0.673; 0; 0.0746; -4.078; 0.0771; 87.932; 4; 
Juego; 3m9zvjbilaBUMKNFcROBfF; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 192324; 51; 0.0827; 0.815; 0.828; 2.2e-06; 0.134; -3.278; 0.163; 176.086; 4; 
Você mentiu; 2GsvXMAz16fKroAmaCxLfL; Kisses; 2BjmOAkaoLqsDQXNvOuzLE; Anitta; 7FNnA9vBm6EKceENgCGRMb; 2019-04-05; 179268; 53; 0.648; 0.809; 0.328; 1.51e-05; 0.107; -11.966; 0.0351; 82.01; 4; 
